Input Direction,Data Type,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Compress Time,Uncompress Time,Compressed Size,Compression Ratio
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,RAKE,GZIP,23480614,580,9487596,1773554,88403.0,0.22100528994710072
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,RAKE,SNAPPY,23455600,447,649852,230495,142761.0,0.35689893101069
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,BUFF,UNCOMPRESSED,2543494,751169,37,34,137518.0,0.343791562084379
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,BUFF,LZ4,2618855,750665,137746,332754,102205.0,0.25550994490055084
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,BUFF,GZIP,2598852,760785,2708211,768952,81871.0,0.20467545324546768
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,BUFF,SNAPPY,2510128,741404,172778,54380,101783.0,0.2544549554504454
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,CHIMP,UNCOMPRESSED,862749,763967,13,16,112750.0,0.2818721812781871
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,CHIMP,LZ4,1018110,792723,67895,311161,99367.0,0.2484150158498418
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,CHIMP,GZIP,886604,778847,2726439,719407,84086.0,0.21021289787102115
./Datasets/Real-World/Numerical/INT32/data/microsoft_int.csv,INT32,CHIMP,SNAPPY,864474,775701,74330,22323,100362.0,0.25090249097509004
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,PLAIN,UNCOMPRESSED,580680,204344,15,15,400004.0,1.0
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,PLAIN,LZ4,724702,213126,486660,1181242,295043.0,0.7376001239987601
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,PLAIN,GZIP,593905,212219,35163617,2284315,204574.0,0.5114298857011432
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,PLAIN,SNAPPY,578295,206595,444192,171170,343116.0,0.8577814221857786
